Zrkovska - trgovina;46.550712;15.686665
Zrkovska - trgovina;46.550678;15.687250
Kronaveter;46.556547;15.733096
Knezar;46.554546;15.736294
Zrkovska - Na Gorci 54;46.546532;15.705432
Zrkovska - Na Gorci 63;46.544222;15.706825
Metava - odcep;46.550119;15.740569
Zimica - odcep;46.551379;15.743682
Malečnik - trgovina;46.552497;15.708171
Trčova - Griček;46.539504;15.720569
Novak;46.537569;15.724293
Metava - Duplek križišče;46.534931;15.731634
Ulica Kraljeviča Marka;46.558651;15.664065
Ulica Kraljeviča Marka;46.558764;15.663918
